timestep,decision,prb_decision,policy_decision
258,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
259,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
260,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
261,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
262,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
263,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
264,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
265,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
266,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
267,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
268,"(18, 9, 23, 1, 2, 0)","[18, 9, 23]","[1, 2, 0]"
269,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
270,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
271,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
272,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
273,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
274,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
275,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
276,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
277,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
278,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
279,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
280,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
281,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
282,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
283,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
