timestep,group,group_members,MSEUr_mean,DTUr_mean,sched_members,sched_members_complete,decision,reward
1710,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.685
1711,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[3, 4], [0, 1, 2, 5, 6]]","const(G0, Q3, 50)",0.692
1711,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[3, 4], [0, 1, 2, 5, 6]]","const(G1, Q1, 0)",0.692
1712,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[3, 5], [0, 1, 2, 4, 6]]","const(G0, Q3, 50)",0.684
1712,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[3, 5], [0, 1, 2, 4, 6]]","const(G1, Q1, 0)",0.684
1713,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[0, 1, 6], [2, 3, 4, 5]]","const(G0, Q3, 50)",0.684
1713,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[0, 1, 6], [2, 3, 4, 5]]","const(G1, Q1, 0)",0.684
1714,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[0, 1, 4, 6], [2, 3, 5]]","const(G0, Q3, 50)",0.688
1714,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[0, 1, 4, 6], [2, 3, 5]]","const(G1, Q1, 0)",0.688
1715,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q3, 50)",0.686
1715,1,[6],"const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[], [6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.686
1716,0,"[0, 1, 2, 3, 4, 5, 6]","dec(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 4], [2, 3, 5, 6]]","[[0, 1, 4], [2, 3, 5, 6]]","const(G0, Q3, 50)",0.661
1717,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[0, 1], [2, 3, 4, 5, 6]]","inc(G0, Q4, 75)",0.795
1718,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[3, 4, 5], [0, 1, 2, 6]]","const(G0, Q4, 75)",0.793
1719,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[2, 6], [0, 1, 3, 4, 5]]","const(G0, Q4, 75)",0.793
1720,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[0, 1, 4], [2, 3, 5, 6]]","const(G0, Q4, 75)",0.796
1721,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","const(G0, Q4, 75)",0.799
1722,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[0, 1, 2, 5], [3, 4, 6]]","const(G0, Q4, 75)",0.796
1723,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[1, 2, 3, 4, 5], [0, 6]]","const(G0, Q4, 75)",0.794
1724,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[6], [0, 1, 2, 3, 4, 5]]","const(G0, Q4, 75)",0.794
1725,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[2, 3, 4], [0, 1, 5, 6]]","const(G0, Q4, 75)",0.799
1726,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[6], [0, 1, 2, 3, 4, 5]]","const(G0, Q4, 75)",0.796
1727,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[2, 3, 5, 6], [0, 1, 4]]","const(G0, Q4, 75)",0.795
1728,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q4, 75)",0.792
1729,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[5], [0, 1, 2, 3, 4, 6]]","const(G0, Q4, 75)",0.795
1730,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q1)","const(DTUr_mean, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[1, 2], [0, 3, 4, 5, 6]]","const(G0, Q4, 75)",0.796
