timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
828,1,[6],"dec(MSEUr, Q3)","const(DTUr, Q4)","[[], [6]]","[[0, 1, 3, 4, 5], [2, 6]]","dec(G1, Q1, 0)",0.885
829,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 3, 4, 5, 6], [0, 2]]","[[1, 3, 4, 5, 6], [0, 2]]","const(G0, Q4, 75)",0.806
830,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 3, 4], [0, 2, 5]]","[[1, 3, 4, 6], [0, 2, 5]]","dec(G0, Q2, 50)",0.623
830,1,[6],"inc(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[1, 3, 4, 6], [0, 2, 5]]","inc(G1, Q1, 100)",0.623
831,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 3, 4, 5], [2]]","[[0, 1, 3, 4, 5, 6], [2]]","inc(G0, Q4, 75)",0.69
831,1,[6],"dec(MSEUr, Q3)","const(DTUr, Q4)","[[6], []]","[[0, 1, 3, 4, 5, 6], [2]]","const(G1, Q1, 100)",0.69
832,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 2, 3, 4, 5], [1]]","[[0, 2, 3, 4, 5, 6], [1]]","const(G0, Q4, 75)",0.708
832,1,[6],"dec(MSEUr, Q3)","const(DTUr, Q4)","[[6], []]","[[0, 2, 3, 4, 5, 6], [1]]","const(G1, Q2, 100)",0.708
833,0,"[0, 1, 2, 3, 4, 5]","inc(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 3, 4, 5], [0]]","[[1, 2, 3, 4, 5], [0, 6]]","const(G0, Q4, 75)",0.853
833,1,[6],"inc(MSEUr, Q3)","const(DTUr, Q4)","[[], [6]]","[[1, 2, 3, 4, 5], [0, 6]]","dec(G1, Q1, 0)",0.853
834,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2, 3, 4, 5], [0, 1]]","[[2, 3, 4, 5], [0, 1, 6]]","dec(G0, Q3, 75)",0.776
834,1,[6],"inc(MSEUr, Q4)","const(DTUr, Q4)","[[], [6]]","[[2, 3, 4, 5], [0, 1, 6]]","const(G1, Q1, 0)",0.776
835,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 4, 5], [2, 3]]","[[0, 1, 4, 5, 6], [2, 3]]","const(G0, Q3, 75)",0.655
835,1,[6],"dec(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[0, 1, 4, 5, 6], [2, 3]]","inc(G1, Q2, 100)",0.655
836,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 6], [5]]","[[0, 1, 2, 3, 4, 6], [5]]","inc(G0, Q4, 75)",0.907
837,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 2, 3, 4, 5], [1, 6]]","[[0, 2, 3, 4, 5], [1, 6]]","dec(G0, Q4, 75)",0.829
838,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 3, 4, 5, 6], [0, 2]]","[[1, 3, 4, 5, 6], [0, 2]]","const(G0, Q4, 75)",0.806
839,0,"[0, 1, 2, 3, 4, 5]","dec(MSEUr, Q3)","const(DTUr, Q4)","[[1, 3, 4, 5], [0, 2]]","[[1, 3, 4, 5, 6], [0, 2]]","dec(G0, Q3, 75)",0.663
839,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[1, 3, 4, 5, 6], [0, 2]]","const(G1, Q2, 100)",0.663
840,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 3, 5, 6], [0, 4]]","[[1, 2, 3, 5, 6], [0, 4]]","inc(G0, Q4, 75)",0.841
841,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2, 4, 5], [0, 1, 3]]","[[2, 4, 5, 6], [0, 1, 3]]","dec(G0, Q2, 50)",0.627
841,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[2, 4, 5, 6], [0, 1, 3]]","const(G1, Q1, 100)",0.627
842,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 3], [2, 4, 5]]","[[0, 1, 3], [2, 4, 5, 6]]","const(G0, Q2, 50)",0.684
842,1,[6],"inc(MSEUr, Q4)","const(DTUr, Q4)","[[], [6]]","[[0, 1, 3], [2, 4, 5, 6]]","dec(G1, Q1, 0)",0.684
843,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2, 4, 5], [0, 1, 3]]","[[2, 4, 5, 6], [0, 1, 3]]","const(G0, Q2, 50)",0.625
843,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[2, 4, 5, 6], [0, 1, 3]]","inc(G1, Q1, 100)",0.625
844,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 5], [6]]","[[0, 1, 2, 3, 4, 5], [6]]","inc(G0, Q4, 75)",0.89
845,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0, 1, 2, 4, 5], [3]]","[[0, 1, 2, 4, 5, 6], [3]]","dec(G0, Q4, 75)",0.71
845,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[0, 1, 2, 4, 5, 6], [3]]","const(G1, Q2, 100)",0.71
846,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 3, 4, 5], [0]]","[[1, 2, 3, 4, 5], [0, 6]]","const(G0, Q4, 75)",0.884
846,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[], [6]]","[[1, 2, 3, 4, 5], [0, 6]]","dec(G1, Q1, 0)",0.884
847,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 5, 6], []]","[[0, 1, 2, 3, 4, 5, 6], []]","inc(G0, MAX, 100)",0.98
848,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4], [5, 6]]","[[0, 1, 2, 3, 4], [5, 6]]","dec(G0, Q4, 75)",0.809
849,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 5], [2, 3, 4]]","[[0, 1, 5, 6], [2, 3, 4]]","dec(G0, Q2, 50)",0.627
849,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[0, 1, 5, 6], [2, 3, 4]]","inc(G1, Q2, 100)",0.627
850,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 3, 4, 5], [2]]","[[0, 1, 3, 4, 5, 6], [2]]","inc(G0, Q4, 75)",0.68
850,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[0, 1, 3, 4, 5, 6], [2]]","const(G1, Q1, 100)",0.68
851,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 3, 4, 5], [2]]","[[0, 1, 3, 4, 5, 6], [2]]","const(G0, Q4, 75)",0.682
851,1,[6],"dec(MSEUr, Q3)","const(DTUr, Q4)","[[6], []]","[[0, 1, 3, 4, 5, 6], [2]]","const(G1, Q1, 100)",0.682
852,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 3, 4, 6], [0, 5]]","[[1, 2, 3, 4, 6], [0, 5]]","const(G0, Q4, 75)",0.83
853,0,"[0, 1, 2, 3, 4, 5]","dec(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4], [5]]","[[0, 1, 2, 3, 4, 6], [5]]","const(G0, Q4, 75)",0.699
853,1,[6],"inc(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[0, 1, 2, 3, 4, 6], [5]]","const(G1, Q2, 100)",0.699
854,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[3, 4, 5], [0, 1, 2]]","[[3, 4, 5, 6], [0, 1, 2]]","dec(G0, Q2, 50)",0.619
854,1,[6],"const(MSEUr, Q3)","const(DTUr, Q4)","[[6], []]","[[3, 4, 5, 6], [0, 1, 2]]","const(G1, Q1, 100)",0.619
855,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 3, 4, 5], [0, 2]]","[[1, 3, 4, 5, 6], [0, 2]]","inc(G0, Q3, 75)",0.659
855,1,[6],"dec(MSEUr, Q3)","const(DTUr, Q4)","[[6], []]","[[1, 3, 4, 5, 6], [0, 2]]","const(G1, Q1, 100)",0.659
856,0,"[0, 1, 2, 3, 4, 5, 6]","inc(MSEUr, Q3)","const(DTUr, Q4)","[[2, 3, 4, 5, 6], [0, 1]]","[[2, 3, 4, 5, 6], [0, 1]]","inc(G0, Q4, 75)",0.805
857,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 5, 6], [4]]","[[0, 1, 2, 3, 5, 6], [4]]","inc(G0, Q4, 75)",0.863
858,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 3, 4, 5], [0]]","[[1, 2, 3, 4, 5, 6], [0]]","dec(G0, Q4, 75)",0.692
858,1,[6],"inc(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[1, 2, 3, 4, 5, 6], [0]]","const(G1, Q2, 100)",0.692
859,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 2, 3, 4, 5], [1]]","[[0, 2, 3, 4, 5], [1, 6]]","const(G0, Q4, 75)",0.855
859,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[], [6]]","[[0, 2, 3, 4, 5], [1, 6]]","dec(G1, Q1, 0)",0.855
860,0,"[0, 1, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0, 1, 6], [3, 4, 5]]","[[0, 1, 2, 6], [3, 4, 5]]","dec(G0, Q2, 50)",0.624
860,1,[2],"dec(MSEUr, Q1)","const(DTUr, Q4)","[[2], []]","[[0, 1, 2, 6], [3, 4, 5]]","inc(G1, Q1, 100)",0.624
861,0,"[0, 1, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[5, 6], [0, 1, 3, 4]]","[[2, 5, 6], [0, 1, 3, 4]]","dec(G0, Q2, 25)",0.582
861,1,[2],"const(MSEUr, Q1)","const(DTUr, Q4)","[[2], []]","[[2, 5, 6], [0, 1, 3, 4]]","const(G1, Q2, 100)",0.582
862,0,"[0, 1, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[1, 3, 4, 6], [0, 5]]","[[1, 3, 4, 6], [0, 2, 5]]","inc(G0, Q3, 75)",0.766
862,1,[2],"inc(MSEUr, Q1)","const(DTUr, Q4)","[[], [2]]","[[1, 3, 4, 6], [0, 2, 5]]","dec(G1, Q1, 0)",0.766
863,0,"[0, 1, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[1, 4, 5, 6], [0, 3]]","[[1, 2, 4, 5, 6], [0, 3]]","const(G0, Q3, 75)",0.659
863,1,[2],"dec(MSEUr, Q1)","const(DTUr, Q4)","[[2], []]","[[1, 2, 4, 5, 6], [0, 3]]","inc(G1, Q2, 100)",0.659
864,0,"[0, 1, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0, 1, 3], [4, 5, 6]]","[[0, 1, 2, 3], [4, 5, 6]]","dec(G0, Q2, 50)",0.618
