timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
31,1,"[2, 3, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[], [2, 3, 6]]","[[0, 5], [1, 2, 3, 4, 6]]","dec(G1, Q1, 0)",0.537
31,2,[5],"const(MSEUr, Q3)","const(DTUr, MAX)","[[5], []]","[[0, 5], [1, 2, 3, 4, 6]]","const(G2, Q2, 100)",0.537
32,0,"[0, 1, 2, 3, 4, 5]","inc(MSEUr, Q4)","inc(DTUr, Q4)","[[1, 2, 3], [0, 4, 5]]","[[1, 2, 3], [0, 4, 5, 6]]","inc(G0, Q4, 50)",0.662
32,1,[6],"inc(MSEUr, Q4)","const(DTUr, Q4)","[[], [6]]","[[1, 2, 3], [0, 4, 5, 6]]","const(G1, Q1, 0)",0.662
33,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[4], [0, 1, 2, 3, 5]]","[[4, 6], [0, 1, 2, 3, 5]]","dec(G0, Q2, 25)",0.524
33,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[4, 6], [0, 1, 2, 3, 5]]","inc(G1, Q2, 100)",0.524
34,0,"[0, 1, 2, 3, 4, 5]","inc(MSEUr, Q4)","const(DTUr, Q4)","[[2, 3, 4], [0, 1, 5]]","[[2, 3, 4], [0, 1, 5, 6]]","inc(G0, Q4, 50)",0.643
34,1,[6],"inc(MSEUr, MAX)","const(DTUr, Q4)","[[], [6]]","[[2, 3, 4], [0, 1, 5, 6]]","dec(G1, Q1, 0)",0.643
35,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[0, 1, 3, 4, 5], [2]]","[[0, 1, 3, 4, 5, 6], [2]]","inc(G0, Q4, 75)",0.664
35,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[0, 1, 3, 4, 5, 6], [2]]","inc(G1, Q2, 100)",0.664
36,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 4], [3, 5]]","[[0, 1, 2, 4], [3, 5, 6]]","dec(G0, Q4, 75)",0.74
36,1,[6],"const(MSEUr, Q4)","inc(DTUr, Q4)","[[], [6]]","[[0, 1, 2, 4], [3, 5, 6]]","dec(G1, Q1, 0)",0.74
37,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[1, 3, 4, 5], [0, 2]]","[[1, 3, 4, 5], [0, 2, 6]]","const(G0, Q4, 75)",0.732
37,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[], [6]]","[[1, 3, 4, 5], [0, 2, 6]]","const(G1, Q1, 0)",0.732
38,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 5], [6]]","[[0, 1, 2, 3, 4, 5], [6]]","inc(G0, Q4, 75)",0.842
39,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[0, 1, 3, 4, 5], [2]]","[[0, 1, 3, 4, 5], [2, 6]]","dec(G0, Q4, 75)",0.827
39,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[], [6]]","[[0, 1, 3, 4, 5], [2, 6]]","const(G1, Q1, 0)",0.827
40,0,"[0, 1, 2, 3, 4, 5]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[1, 2, 5], [0, 3, 4]]","[[1, 2, 5, 6], [0, 3, 4]]","dec(G0, Q4, 50)",0.598
40,1,[6],"const(MSEUr, Q4)","const(DTUr, Q4)","[[6], []]","[[1, 2, 5, 6], [0, 3, 4]]","inc(G1, Q2, 100)",0.598
41,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[1, 2, 3, 4, 5, 6], [0]]","[[1, 2, 3, 4, 5, 6], [0]]","inc(G0, Q4, 75)",0.852
42,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[0, 1, 2, 3, 4, 6], [5]]","[[0, 1, 2, 3, 4, 6], [5]]","const(G0, Q4, 75)",0.848
43,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","inc(DTUr, Q4)","[[1, 2, 3, 4, 6], [0, 5]]","[[1, 2, 3, 4, 6], [0, 5]]","dec(G0, Q4, 75)",0.767
44,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[1, 2, 3, 4, 5], [0, 6]]","[[1, 2, 3, 4, 5], [0, 6]]","const(G0, Q4, 75)",0.772
45,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[2, 3, 6], [0, 1, 4, 5]]","[[2, 3, 6], [0, 1, 4, 5]]","dec(G0, Q4, 50)",0.641
46,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 2, 3, 5, 6], [1, 4]]","[[0, 2, 3, 5, 6], [1, 4]]","inc(G0, Q4, 75)",0.79
47,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[2, 3, 6], [0, 1, 4, 5]]","[[2, 3, 6], [0, 1, 4, 5]]","dec(G0, Q4, 50)",0.64
48,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 2, 3, 5, 6], [4]]","[[0, 1, 2, 3, 5, 6], [4]]","inc(G0, Q4, 75)",0.868
49,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[2, 3, 4, 5, 6], [0, 1]]","[[2, 3, 4, 5, 6], [0, 1]]","dec(G0, Q4, 75)",0.778
50,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[0, 1, 4, 5, 6], [2, 3]]","[[0, 1, 4, 5, 6], [2, 3]]","const(G0, Q4, 75)",0.789
51,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[2, 3, 4, 5, 6], [0, 1]]","[[2, 3, 4, 5, 6], [0, 1]]","const(G0, Q4, 75)",0.782
52,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[1, 2, 3, 5, 6], [0, 4]]","[[1, 2, 3, 5, 6], [0, 4]]","const(G0, Q4, 75)",0.786
