timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
410,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[2], [0, 1, 3, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.333
410,1,[4],"dec(MSEUr, Q1)","inc(DTUr, Q3)","[[], [4]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G1, Q1, 0)",0.333
411,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.338
411,1,[4],"const(MSEUr, Q1)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.338
412,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2], [0, 1, 3, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.332
412,1,[4],"const(MSEUr, Q2)","const(DTUr, Q3)","[[], [4]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.332
413,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","dec(DTUr, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.33
414,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.327
415,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.334
415,1,[4],"const(MSEUr, Q2)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.334
416,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.335
416,1,[4],"const(MSEUr, Q2)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.335
417,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.334
417,1,[4],"const(MSEUr, Q2)","const(DTUr, Q3)","[[], [4]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.334
418,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.334
418,1,[4],"const(MSEUr, Q3)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.334
419,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.333
419,1,[4],"const(MSEUr, Q2)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.333
420,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[3], [0, 1, 2, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","const(G0, Q3, 25)",0.328
420,1,[4],"const(MSEUr, Q2)","const(DTUr, Q3)","[[], [4]]","[[3], [0, 1, 2, 4, 5, 6]]","const(G1, Q1, 0)",0.328
421,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.334
421,1,[4],"const(MSEUr, Q2)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.334
422,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2], [0, 1, 3, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.329
422,1,[4],"const(MSEUr, Q2)","const(DTUr, Q3)","[[], [4]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.329
423,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.333
423,1,[4],"const(MSEUr, Q2)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.333
424,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.333
424,1,[4],"const(MSEUr, Q2)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.333
425,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 2], [1, 3, 5, 6]]","[[0, 2], [1, 3, 4, 5, 6]]","inc(G0, Q4, 25)",0.407
425,1,[4],"const(MSEUr, Q3)","const(DTUr, Q3)","[[], [4]]","[[0, 2], [1, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.407
426,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2], [0, 1, 3, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G0, Q3, 25)",0.33
426,1,[4],"const(MSEUr, Q2)","const(DTUr, Q3)","[[], [4]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.33
427,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q4)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.332
427,1,[4],"const(MSEUr, Q2)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.332
428,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.332
428,1,[4],"const(MSEUr, Q3)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.332
429,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","dec(DTUr, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.321
430,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[4], [0, 1, 2, 3, 5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","const(G0, Q3, 25)",0.323
431,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.323
432,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.327
433,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[3], [0, 1, 2, 4, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","const(G0, Q2, 25)",0.323
434,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[4], [0, 1, 2, 3, 5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","const(G0, Q2, 25)",0.326
435,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.334
435,1,[4],"const(MSEUr, Q3)","inc(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.334
436,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.332
436,1,[4],"const(MSEUr, Q3)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.332
437,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0], [1, 2, 3, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.331
437,1,[4],"const(MSEUr, Q3)","const(DTUr, Q3)","[[], [4]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.331
438,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.331
438,1,[4],"const(MSEUr, Q3)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.331
439,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","dec(DTUr, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.323
440,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.329
440,1,[4],"const(MSEUr, Q3)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.329
441,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.326
441,1,[4],"const(MSEUr, Q4)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.326
442,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","dec(DTUr, Q4)","[[3], [0, 1, 2, 4, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","const(G0, Q3, 25)",0.322
443,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[1], [0, 2, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.327
443,1,[4],"const(MSEUr, Q4)","const(DTUr, Q3)","[[], [4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.327
444,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 2], [1, 3, 5, 6]]","[[0, 2], [1, 3, 4, 5, 6]]","inc(G0, Q4, 25)",0.401
444,1,[4],"const(MSEUr, Q4)","const(DTUr, Q3)","[[], [4]]","[[0, 2], [1, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.401
445,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","dec(DTUr, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G0, Q2, 25)",0.323
446,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.323
447,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 3], [0, 2, 4, 5, 6]]","[[1, 3], [0, 2, 4, 5, 6]]","inc(G0, Q4, 25)",0.382
448,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G0, Q2, 25)",0.321
449,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[5], [0, 1, 2, 3, 4, 6]]","[[5], [0, 1, 2, 3, 4, 6]]","const(G0, Q2, 25)",0.322
450,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.323
451,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q3)","inc(DTUr, Q4)","[[2], [0, 1, 3, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.328
451,1,[4],"const(MSEUr, Q3)","const(DTUr, Q3)","[[], [4]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.328
452,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q4)","dec(DTUr, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.322
