timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
3601,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0, 2, 3, 5, 6], [1, 4]]","[[0, 2, 3, 5, 6], [1, 4]]","dec(G0, Q3, 75)",0.797
3602,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[1, 2, 3, 5], [0, 4, 6]]","[[1, 2, 3, 5], [0, 4, 6]]","dec(G0, Q3, 50)",0.733
3603,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0, 1, 3, 4, 6], [2, 5]]","[[0, 1, 3, 4, 6], [2, 5]]","inc(G0, Q3, 75)",0.798
3604,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[5, 6], [0, 1, 2, 3, 4]]","[[5, 6], [0, 1, 2, 3, 4]]","dec(G0, Q2, 25)",0.591
3605,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0, 2], [1, 3, 4, 5, 6]]","[[0, 2], [1, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.602
3606,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[1, 4, 5], [0, 2, 3, 6]]","[[1, 4, 5], [0, 2, 3, 6]]","inc(G0, Q2, 50)",0.661
3607,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 3, 6], [0, 4, 5]]","[[1, 2, 3, 6], [0, 4, 5]]","inc(G0, Q3, 50)",0.734
3608,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[1, 2, 4, 6], [0, 3, 5]]","[[1, 2, 4, 6], [0, 3, 5]]","const(G0, Q3, 50)",0.738
3609,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q2)","const(DTUr, Q4)","[[0, 5], [1, 2, 3, 4, 6]]","[[0, 5], [1, 2, 3, 4, 6]]","dec(G0, Q2, 25)",0.597
3610,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 4, 6], [3, 5]]","[[0, 1, 2, 4, 6], [3, 5]]","inc(G0, Q4, 75)",0.806
3611,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 2, 3, 4], [1, 5, 6]]","[[0, 2, 3, 4], [1, 5, 6]]","dec(G0, Q3, 50)",0.745
3612,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2, 3, 5], [0, 1, 4, 6]]","[[2, 3, 5], [0, 1, 4, 6]]","dec(G0, Q2, 50)",0.665
3613,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 3, 4, 6], [2, 5]]","[[0, 1, 3, 4, 6], [2, 5]]","inc(G0, Q4, 75)",0.793
3614,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 3, 4, 6], [0, 5]]","[[1, 2, 3, 4, 6], [0, 5]]","const(G0, Q4, 75)",0.8
3615,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2, 3, 4, 5], [0, 1, 6]]","[[2, 3, 4, 5], [0, 1, 6]]","dec(G0, Q3, 50)",0.739
3616,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 3, 4, 5, 6], [2]]","[[0, 1, 3, 4, 5, 6], [2]]","inc(G0, Q4, 75)",0.869
3617,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 4, 5], [6]]","[[0, 1, 2, 3, 4, 5], [6]]","const(G0, Q4, 75)",0.874
3618,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 3, 4, 5, 6], [1, 2]]","[[0, 3, 4, 5, 6], [1, 2]]","dec(G0, Q3, 75)",0.801
3619,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 2, 3, 6], [1, 4, 5]]","[[0, 2, 3, 6], [1, 4, 5]]","dec(G0, Q3, 50)",0.734
3620,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[4, 6], [0, 1, 2, 3, 5]]","[[4, 6], [0, 1, 2, 3, 5]]","dec(G0, Q2, 25)",0.595
3621,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 2, 5, 6], [0, 3, 4]]","[[1, 2, 5, 6], [0, 3, 4]]","inc(G0, Q3, 50)",0.733
3622,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[2, 3, 4, 6], [0, 1, 5]]","[[2, 3, 4, 6], [0, 1, 5]]","const(G0, Q3, 50)",0.728
3623,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 2, 3, 4, 5, 6], [1]]","[[0, 2, 3, 4, 5, 6], [1]]","inc(G0, Q4, 75)",0.868
3624,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 3, 6], [4, 5]]","[[0, 1, 2, 3, 6], [4, 5]]","dec(G0, Q3, 75)",0.799
3625,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[1, 3, 5], [0, 2, 4, 6]]","[[1, 3, 5], [0, 2, 4, 6]]","dec(G0, Q2, 50)",0.668
3626,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr, Q3)","const(DTUr, Q4)","[[0, 1, 2, 6], [3, 4, 5]]","[[0, 1, 2, 6], [3, 4, 5]]","inc(G0, Q3, 50)",0.734
