timestep,decision,prb_decision,policy_decision
145,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
146,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
147,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
148,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
149,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
150,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
151,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
152,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
153,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
154,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
155,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
156,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
157,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
158,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
159,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
160,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
161,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
162,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
163,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
164,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
165,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
166,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
167,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
168,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
169,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
170,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
171,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
172,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
173,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
