timestep,kpi,q0,q1,q2,q3,q4
104,dl_buffer,0.0,0.0,210.15541145022473,51782.82610026225,94036.0
105,tx_brate,0.005,0.1792647454311477,0.2273270917318274,1.0151344934919282,1.46
105,tx_pckts,4.0,41.379024724052904,44.66471031644666,165.15548917850836,234.375
105,dl_buffer,0.0,0.0,206.1139612300281,52385.13872353169,94036.0
106,tx_brate,0.005,0.1792647454311477,0.2273270917318274,1.0151344934919282,1.46
106,tx_pckts,4.0,41.379024724052904,45.438839771465275,165.15548917850836,234.375
106,dl_buffer,0.0,0.0,206.1139612300281,52385.13872353169,94036.0
107,tx_brate,0.005,0.1792647454311477,0.2273270917318274,1.0151344934919282,1.46
107,tx_pckts,4.0,40.865210873629,44.65290718161533,165.15548917850836,234.375
107,dl_buffer,0.0,0.0,202.15023120637372,52385.13872353169,94036.0
108,tx_brate,0.005,0.1792647454311477,0.2273270917318274,1.0151344934919282,1.46
108,tx_pckts,4.0,40.865210873629,45.42489648785682,165.15548917850836,234.375
108,dl_buffer,0.0,0.0,202.15023120637372,52385.13872353169,94036.0
109,tx_brate,0.005,0.18064696317729165,0.2273270917318274,1.0227708843048073,1.46
109,tx_pckts,4.0,40.865210873629,45.42489648785682,166.32587557076087,234.375
109,dl_buffer,0.0,0.0,198.33607590059307,52965.25106792865,94036.0
110,tx_brate,0.005,0.18064696317729165,0.2273270917318274,1.0227708843048073,1.46
110,tx_pckts,4.0,41.12024188934101,45.42489648785682,166.32587557076087,234.375
110,dl_buffer,0.0,0.0,198.33607590059307,52965.25106792865,94036.0
111,tx_brate,0.005,0.18064696317729165,0.22730348910314097,1.0227708843048073,1.46
111,tx_pckts,4.0,40.87304017467773,45.42489648785682,166.32587557076087,234.375
111,dl_buffer,0.0,0.0,194.66318560613766,52965.25106792865,94036.0
112,tx_brate,0.005,0.18064696317729165,0.22730348910314097,1.0227708843048073,1.46
112,tx_pckts,4.0,40.87304017467773,45.42489648785682,166.32587557076087,234.375
112,dl_buffer,0.0,0.0,194.66318560613766,52965.25106792865,94036.0
113,tx_brate,0.005,0.18197812179467573,0.23233817630380044,1.0301044630987681,1.46
113,tx_pckts,4.0,41.1219425480896,44.67351272330485,167.45448368909354,234.375
113,dl_buffer,0.0,0.0,190.99029531168225,53524.73881643038,94036.0
114,tx_brate,0.005,0.18332435401042246,0.23233817630380044,1.0301044630987681,1.46
114,tx_pckts,4.0,41.36261422100856,45.407063306937445,167.45448368909354,234.375
114,dl_buffer,0.0,0.0,190.99029531168225,53524.73881643038,94036.0
115,tx_brate,0.005,0.18332435401042246,0.23233817630380044,1.0301044630987681,1.46
115,tx_pckts,4.0,41.36261422100856,45.407063306937445,167.45448368909354,234.375
115,dl_buffer,0.0,0.0,187.57975432397365,53524.73881643038,94036.0
116,tx_brate,0.005,0.18332435401042246,0.23233817630380044,1.0301044630987681,1.46
116,tx_pckts,4.0,41.36261422100856,46.13591804374718,167.45448368909354,234.375
116,dl_buffer,0.0,0.0,187.57975432397365,53524.73881643038,94036.0
117,tx_brate,0.005,0.18463961113714997,0.23233817630380044,1.0371852274626332,1.46
117,tx_pckts,4.0,41.36261422100856,46.13591804374718,168.54005439334355,234.375
117,dl_buffer,0.0,0.0,184.28888144109692,54065.01619878056,94036.0
118,tx_brate,0.005,0.18463961113714997,0.23233817630380044,1.0371852274626332,1.46
118,tx_pckts,4.0,41.60339089554426,46.84963073770333,168.54005439334355,234.375
118,dl_buffer,0.0,0.0,184.28888144109692,54065.01619878056,94036.0
119,tx_brate,0.005,0.18595292597661245,0.23232473592179242,1.0371852274626332,1.46
119,tx_pckts,4.0,41.60339089554426,46.84963073770333,168.54005439334355,234.375
119,dl_buffer,0.0,0.0,181.1114869334918,54065.01619878056,94036.0
120,tx_brate,0.005,0.18595292597661245,0.23232473592179242,1.0371852274626332,1.46
120,tx_pckts,4.0,41.60339089554426,46.84963073770333,168.54005439334355,234.375
120,dl_buffer,0.0,0.0,181.1114869334918,54065.01619878056,94036.0
121,tx_brate,0.005,0.18595292597661245,0.23708022363959141,1.044003357485088,1.46
121,tx_pckts,4.0,41.843471394213644,46.14387401099075,169.58543892919093,234.375
121,dl_buffer,0.0,0.0,178.04180071428007,54587.35555469405,94036.0
122,tx_brate,0.005,0.18468544561895006,0.23708022363959141,1.044003357485088,1.46
122,tx_pckts,4.0,41.843471394213644,46.14387401099075,169.58543892919093,234.375
122,dl_buffer,0.0,0.0,178.04180071428007,54587.35555469405,94036.0
123,tx_brate,0.005,0.18468544561895006,0.23706116884006734,1.044003357485088,1.46
123,tx_pckts,4.0,41.843471394213644,46.14387401099075,169.58543892919093,234.375
123,dl_buffer,0.0,0.0,175.07443736904207,54587.35555469405,94036.0
124,tx_brate,0.005,0.18468544561895006,0.23706116884006734,1.044003357485088,1.46
124,tx_pckts,4.0,41.843471394213644,46.83437113280144,169.58543892919093,234.375
124,dl_buffer,0.0,0.0,175.07443736904207,54587.35555469405,94036.0
125,tx_brate,0.005,0.18594059122628842,0.23706116884006734,1.0506016609566424,1.46
125,tx_pckts,4.0,41.61746243468746,46.144639971369315,170.59718962249428,234.375
125,dl_buffer,0.0,0.0,172.15653007955802,55092.90768894455,94036.0
126,tx_brate,0.005,0.18594059122628842,0.23706116884006734,1.0506016609566424,1.46
126,tx_pckts,4.0,41.39513612611866,46.144639971369315,170.59718962249428,234.375
126,dl_buffer,0.0,0.0,172.15653007955802,55092.90768894455,94036.0
127,tx_brate,0.005,0.18594059122628842,0.23704300605657389,1.0506016609566424,1.46
127,tx_pckts,4.0,41.17448356082353,45.45677209298394,170.59718962249428,234.375
127,dl_buffer,0.0,0.0,169.28725457823205,55092.90768894455,94036.0
128,tx_brate,0.005,0.18594059122628842,0.23704300605657389,1.0506016609566424,1.46
128,tx_pckts,4.0,41.17448356082353,45.45677209298394,170.59718962249428,234.375
128,dl_buffer,0.0,0.0,169.28725457823205,55092.90768894455,94036.0
129,tx_brate,0.005,0.18594059122628842,0.23704300605657389,1.0569938493307296,1.46
129,tx_pckts,4.0,41.17448356082353,45.45677209298394,171.58457499884943,234.375
129,dl_buffer,0.0,0.0,166.51205368350693,55582.71696467346,94036.0
130,tx_brate,0.005,0.1871437167452023,0.23704300605657389,1.0569938493307296,1.46
130,tx_pckts,4.0,40.96251424226535,45.45677209298394,171.58457499884943,234.375
130,dl_buffer,0.0,0.0,166.51205368350693,55582.71696467346,94036.0
131,tx_brate,0.005,0.1871437167452023,0.2325644387053636,1.0569938493307296,1.46
131,tx_pckts,4.0,40.542228132347326,44.781807849942055,171.58457499884943,234.375
131,dl_buffer,0.0,0.0,163.86900521234017,55582.71696467346,94036.0
132,tx_brate,0.005,0.1871437167452023,0.2325644387053636,1.0569938493307296,1.46
132,tx_pckts,4.0,40.542228132347326,45.4469974279446,171.58457499884943,234.375
132,dl_buffer,0.0,0.0,163.86900521234017,55582.71696467346,94036.0
133,tx_brate,0.005,0.1871437167452023,0.23697992161188913,1.0631926246132537,1.46
133,tx_pckts,4.0,40.753191918276066,45.4469974279446,172.5420861930945,234.375
133,dl_buffer,0.0,0.0,161.30855200589735,56057.73260413306,94036.0
134,tx_brate,0.005,0.18599031717277953,0.23697992161188913,1.0631926246132537,1.46
134,tx_pckts,4.0,40.96205076062046,45.4469974279446,172.5420861930945,234.375
134,dl_buffer,0.0,0.0,161.30855200589735,56057.73260413306,94036.0
135,tx_brate,0.005,0.18599031717277953,0.2325989090555141,1.0631926246132537,1.46
