timestep,decision,prb_decision,policy_decision
506,"(30, 9, 11, 1, 1, 1)","[30, 9, 11]","[1, 1, 1]"
507,"(30, 9, 11, 0, 1, 0)","[30, 9, 11]","[0, 1, 0]"
508,"(36, 9, 5, 0, 2, 2)","[36, 9, 5]","[0, 2, 2]"
509,"(24, 15, 11, 2, 2, 0)","[24, 15, 11]","[2, 2, 0]"
510,"(6, 39, 5, 0, 1, 2)","[6, 39, 5]","[0, 1, 2]"
511,"(36, 9, 5, 0, 2, 1)","[36, 9, 5]","[0, 2, 1]"
512,"(24, 21, 5, 2, 2, 1)","[24, 21, 5]","[2, 2, 1]"
513,"(36, 9, 5, 1, 0, 0)","[36, 9, 5]","[1, 0, 0]"
514,"(36, 9, 5, 0, 1, 2)","[36, 9, 5]","[0, 1, 2]"
515,"(30, 15, 5, 2, 1, 0)","[30, 15, 5]","[2, 1, 0]"
516,"(30, 9, 11, 1, 2, 2)","[30, 9, 11]","[1, 2, 2]"
517,"(24, 21, 5, 0, 1, 1)","[24, 21, 5]","[0, 1, 1]"
518,"(30, 9, 11, 1, 1, 2)","[30, 9, 11]","[1, 1, 2]"
519,"(30, 9, 11, 2, 1, 0)","[30, 9, 11]","[2, 1, 0]"
520,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
521,"(30, 15, 5, 1, 1, 2)","[30, 15, 5]","[1, 1, 2]"
522,"(30, 9, 11, 1, 0, 2)","[30, 9, 11]","[1, 0, 2]"
523,"(30, 9, 11, 1, 2, 2)","[30, 9, 11]","[1, 2, 2]"
524,"(36, 9, 5, 2, 1, 2)","[36, 9, 5]","[2, 1, 2]"
525,"(24, 15, 11, 2, 1, 1)","[24, 15, 11]","[2, 1, 1]"
526,"(36, 9, 5, 2, 0, 1)","[36, 9, 5]","[2, 0, 1]"
527,"(36, 9, 5, 2, 0, 1)","[36, 9, 5]","[2, 0, 1]"
528,"(30, 9, 11, 2, 1, 2)","[30, 9, 11]","[2, 1, 2]"
529,"(36, 9, 5, 2, 2, 0)","[36, 9, 5]","[2, 2, 0]"
530,"(36, 9, 5, 2, 2, 2)","[36, 9, 5]","[2, 2, 2]"
531,"(36, 9, 5, 2, 2, 1)","[36, 9, 5]","[2, 2, 1]"
532,"(24, 21, 5, 1, 0, 0)","[24, 21, 5]","[1, 0, 0]"
533,"(30, 9, 11, 0, 2, 1)","[30, 9, 11]","[0, 2, 1]"
534,"(30, 9, 11, 0, 0, 1)","[30, 9, 11]","[0, 0, 1]"
535,"(30, 9, 11, 2, 1, 0)","[30, 9, 11]","[2, 1, 0]"
536,"(18, 15, 17, 1, 2, 2)","[18, 15, 17]","[1, 2, 2]"
